reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date
237_NOW_CA1,"City centre",,"https://www.norwich.gov.uk/download/downloads/id/3432/introduction_context_and_strategic_policies.pdf","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"",local-authority:NOW,,,
237_NOW_CA2,"Bracondale",,"https://www.norwich.gov.uk/downloads/file/2994/bracondale_conservation_area_appraisal","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"Best Map is shown on page 32 of the appraisal document. ",local-authority:NOW,,,
237_NOW_CA3,"Newmarket Road",,"Not Available","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"",local-authority:NOW,,,
237_NOW_CA4,"Heigham Grove",,"https://www.norwich.gov.uk/downloads/file/3010/heigham_grove_conservation_area_appraisal","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"Best Map is shown on page 30 of the appraisal document. ",local-authority:NOW,,,
237_NOW_CA5,"Thorpe St Andrew",,"https://www.norwich.gov.uk/downloads/file/3017/thorpe_st_andrew_conservation_area_appraisal","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"Best Map is shown on page 31 of the appraisal document. ",local-authority:NOW,,,
237_NOW_CA6,"Sewell",,"https://www.norwich.gov.uk/downloads/file/3013/sewell_conservation_area_appraisal","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"Best Map is shown on page 24 of the appraisal document. ",local-authority:NOW,,,
237_NOW_CA7,"Eaton",,"https://www.norwich.gov.uk/downloads/file/3009/eaton_conservation_area_appraisal","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"Best Map is shown on page 19 of the appraisal document. ",local-authority:NOW,,,
237_NOW_CA8,"Trowse Millgate",,"https://www.norwich.gov.uk/downloads/file/3018/trowse_millgate_conservation_area_appraisal","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"Best Map is shown on page 21 of the appraisal document. ",local-authority:NOW,,,
237_NOW_CA9,"Earlham",,"Not Available","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"",local-authority:NOW,,,
237_NOW_CA10,"Old Lakenham",,"https://www.norwich.gov.uk/downloads/file/3012/old_lakenham_conservation_area_appraisal","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"Best Map is shown on page 19 of the appraisal document. ",local-authority:NOW,,,
237_NOW_CA11,"Bowthorpe",,"https://www.norwich.gov.uk/downloads/file/2993/bowthorpe_conservation_area_appraisal","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"Best Map is shown on page 32 of the appraisal document. ",local-authority:NOW,,,
237_NOW_CA12,"Mile Cross",,"https://www.norwich.gov.uk/downloads/file/3011/mile_cross_conservation_area_appraisal","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"Best Map is shown on page 23 of the appraisal document. ",local-authority:NOW,,,
237_NOW_CA13,"Thorpe Hamlet",,"https://www.norwich.gov.uk/downloads/file/3015/thorpe_hamlet_conservation_area_appraisal","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"Best Map is shown on page 19 of the appraisal document. ",local-authority:NOW,,,
237_NOW_CA14,"Thorpe Ridge",,"https://www.norwich.gov.uk/downloads/file/3016/thorpe_ridge_conservation_area_appraisal","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"Best Map is shown on page 24 of the appraisal document. ",local-authority:NOW,,,
237_NOW_CA15,"Unthank and Christchurch",,"Not Available","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"",local-authority:NOW,,,
237_NOW_CA16,"Hellesdon Village",,"Not Available","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"",local-authority:NOW,,,
237_NOW_CA17,"St Matthews",,"https://www.norwich.gov.uk/downloads/file/3014/st_matthews_conservation_area_appraisal","https://www.norwich.gov.uk/downloads/20254/conservation_area_appraisals",,,"Best Map is shown on page 20 of the appraisal document. ",local-authority:NOW,,,
