reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,ca_entity
323_STT_CA1,"Billingham Green",,"https://www.stockton.gov.uk/media/3050/Supplementary-Planning-Document-Conservation-and-Historic-Environment-Folder/pdf/Supplementary_planning_document_-_Conservation_and_Historic_Environment_Folder.pdf?m=1646232728500","https://www.stockton.gov.uk/search?q=conservation+area",,,"One appraisal document located through search functionBest Map is shown on page 58 of the appraisal document. ",,,,44000325
323_STT_CA2,"Bute Street",,"https://www.stockton.gov.uk/media/3050/Supplementary-Planning-Document-Conservation-and-Historic-Environment-Folder/pdf/Supplementary_planning_document_-_Conservation_and_Historic_Environment_Folder.pdf?m=1646232728500","https://www.stockton.gov.uk/search?q=conservation+area",,,"One appraisal document located through search functionBest Map is shown on page 72 of the appraisal document. ",,,,44000327
323_STT_CA3,"Cowpen Bewley",,"https://www.stockton.gov.uk/media/3050/Supplementary-Planning-Document-Conservation-and-Historic-Environment-Folder/pdf/Supplementary_planning_document_-_Conservation_and_Historic_Environment_Folder.pdf?m=1646232728500","https://www.stockton.gov.uk/search?q=conservation+area",,,"One appraisal document located through search functionBest Map is shown on page 81 of the appraisal document. ",,,,44006204
323_STT_CA4,"Eaglescliffe with Preston",,"https://www.stockton.gov.uk/media/3050/Supplementary-Planning-Document-Conservation-and-Historic-Environment-Folder/pdf/Supplementary_planning_document_-_Conservation_and_Historic_Environment_Folder.pdf?m=1646232728500","https://www.stockton.gov.uk/search?q=conservation+area",,,"One appraisal document located through search functionBest Map is shown on page 93 of the appraisal document. ",,,,44000328
323_STT_CA5,"Egglescliffe",,"https://www.stockton.gov.uk/media/3050/Supplementary-Planning-Document-Conservation-and-Historic-Environment-Folder/pdf/Supplementary_planning_document_-_Conservation_and_Historic_Environment_Folder.pdf?m=1646232728500","https://www.stockton.gov.uk/search?q=conservation+area",,,"One appraisal document located through search functionBest Map is shown on page 107 of the appraisal document. ",,,,44000323
323_STT_CA6,"Hartburn",,"https://www.stockton.gov.uk/media/3050/Supplementary-Planning-Document-Conservation-and-Historic-Environment-Folder/pdf/Supplementary_planning_document_-_Conservation_and_Historic_Environment_Folder.pdf?m=1646232728500","https://www.stockton.gov.uk/search?q=conservation+area",,,"One appraisal document located through search functionBest Map is shown on page 124 of the appraisal document. ",,,,44000322
323_STT_CA7,"Norton",,"https://www.stockton.gov.uk/media/3050/Supplementary-Planning-Document-Conservation-and-Historic-Environment-Folder/pdf/Supplementary_planning_document_-_Conservation_and_Historic_Environment_Folder.pdf?m=1646232728500","https://www.stockton.gov.uk/search?q=conservation+area",,,"One appraisal document located through search functionBest Map is shown on page 137 of the appraisal document. ",,,,44000329
323_STT_CA8,"Stockton Town Centre",,"https://www.stockton.gov.uk/media/3050/Supplementary-Planning-Document-Conservation-and-Historic-Environment-Folder/pdf/Supplementary_planning_document_-_Conservation_and_Historic_Environment_Folder.pdf?m=1646232728500","https://www.stockton.gov.uk/search?q=conservation+area",,,"One appraisal document located through search functionBest Map is shown on page 154 of the appraisal document. ",,,,44000324
323_STT_CA9,"Thornaby Green",,"https://www.stockton.gov.uk/media/3050/Supplementary-Planning-Document-Conservation-and-Historic-Environment-Folder/pdf/Supplementary_planning_document_-_Conservation_and_Historic_Environment_Folder.pdf?m=1646232728500","https://www.stockton.gov.uk/search?q=conservation+area",,,"One appraisal document located through search functionBest Map is shown on page 178 of the appraisal document. ",,,,44000321
323_STT_CA10,"Wolviston",,"https://www.stockton.gov.uk/media/3050/Supplementary-Planning-Document-Conservation-and-Historic-Environment-Folder/pdf/Supplementary_planning_document_-_Conservation_and_Historic_Environment_Folder.pdf?m=1646232728500","https://www.stockton.gov.uk/search?q=conservation+area",,,"One appraisal document located through search functionBest Map is shown on page 190 of the appraisal document. ",,,,44000326
323_STT_CA11,"Yarm",,"https://www.stockton.gov.uk/media/3050/Supplementary-Planning-Document-Conservation-and-Historic-Environment-Folder/pdf/Supplementary_planning_document_-_Conservation_and_Historic_Environment_Folder.pdf?m=1646232728500","https://www.stockton.gov.uk/search?q=conservation+area",,,"One appraisal document located through search functionBest Map is shown on page 204 of the appraisal document. ",,,,44000330
