reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
BRM_60_CA_1,"Alvechurch",,"https://www.bromsgrove.gov.uk/media/barbs4ym/alvechurch-conservation-area-designated-november-1968.pdf","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","  Best Map is shown on page 1 of the appraisal document. ",,1968-11-01,,44000047.0
BRM_60_CA_2,"Barnt Green",,"https://www.bromsgrove.gov.uk/media/xo0iycxo/barnt-green-conservation-area-designated-december-2000.pdf","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","  Best Map is shown on page 1 of the appraisal document. ",,2000-12-01,,44001413.0
BRM_60_CA_3,"Belbroughton",,"https://www.bromsgrove.gov.uk/media/fxebict2/belbroughton-ca-appraisal-and-management-plan-july-2012.pdf","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","  Best Map is shown on page 47 of the appraisal document. ",,,,44000053.0
BRM_60_CA_4,"Beoley",,"https://www.bromsgrove.gov.uk/media/5a2fufl1/beoley-ca-character-appraisal-and-management-plan-april-2017.pdf","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","  Best Map is shown on page 34 of the appraisal document. ",,1980-08-01,,44000052.0
BRM_60_CA_5,"Bromsgrove Town Centre",,"https://www.bromsgrove.gov.uk/media/jfke2orq/bromsgrove-town-centre-conservation-area-designated-1968.pdf","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","  Extra documents are available.  Best Map is shown on page 1 of the appraisal document. ",,1968-01-01,,44006474.0
BRM_60_CA_6,"Clent",,"https://www.bromsgrove.gov.uk/media/jwibvsxr/clent-conservation-area-designated-march-1981.pdf","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","  Best Map is shown on page 1 of the appraisal document. ",,1981-03-01,,44000049.0
BRM_60_CA_7,"Dodford",,"https://www.bromsgrove.gov.uk/media/v2fjb5qo/dodford-ca-character-appraisal-and-management-plan-december-2018.pdf","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","  Best Map is shown on page 36 of the appraisal document. ",,2018-12-01,,44000048.0
BRM_60_CA_8,"Hagley",,"https://www.bromsgrove.gov.uk/media/3ignfrbe/hagley-conservation-area-designated-october-1987.pdf","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","  Best Map is shown on page 1 of the appraisal document. ",,1987-10-01,,44000046.0
BRM_60_CA_9,"Hewell Grange",,"https://www.bromsgrove.gov.uk/media/1hlfgc5y/hewell-grange-ca-character-appraisal-august-2010.pdf","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/"," ",,,,44006088.0
BRM_60_CA_10,"Holy Cross",,"https://www.bromsgrove.gov.uk/media/ql1oef11/holy-cross-conservation-area-designated-march-1981.pdf","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","  Best Map is shown on page 1 of the appraisal document. ",,,,44000051.0
BRM_60_CA_11,"St John's",,"https://www.bromsgrove.gov.uk/media/esypf2se/st-john-s-ca-character-appraisal-june-2011.pdf","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","  Best Map is shown on page 25 of the appraisal document. ",,2011-06-01,,44006473.0
BRM_60_CA_12,"Worcester and Birmingham Canal",,"https://www.bromsgrove.gov.uk/media/scchwnus/worcester-birmingham-canal-ca-character-appraisal-and-management-plan-january-2021.pdf","https://www.bromsgrove.gov.uk/council/policy/planning-policies-and-other-planning-information/conservation/conservation-areas/","  Best Map is shown on page 64 of the appraisal document. ",,,,44000050.0
