reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,ca_entity
386_WSK_CA1,"Ampton",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007044
386_WSK_CA2,"Bardwell",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007119
386_WSK_CA3,"Barnham",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007045
386_WSK_CA4,"Barton Mills",,"https://www.westsuffolk.gov.uk/planning/Conservation/upload/Barton-Mills-CA-Appraisal-Adopted-May-2008-2.pdf","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","Extra documents are available. ",,,,44007041
386_WSK_CA5,"Brandon",,"https://www.westsuffolk.gov.uk/planning/Conservation/upload/BrandonCAAReportwebsitedoc-2.pdf","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","Extra documents are available. ",,,,44007042
386_WSK_CA6,"Bury St Edmunds Town Centre",,"https://www.westsuffolk.gov.uk/planning/Conservation/upload/BSE-ConservationAreaAppraisalBury080320.pdf","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","Extra documents are available. ",,,,44007046
386_WSK_CA7,"Bury St Edmunds Victoria Street",,"https://www.westsuffolk.gov.uk/planning/Conservation/upload/Final-adopted-version.pdf","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","Extra documents are available. ",,,,44007047
386_WSK_CA8,"Cavendish",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007048
386_WSK_CA9,"Clare",,"https://www.westsuffolk.gov.uk/planning/Conservation/upload/Clare-ConservationAreaAppraisalClare090320.pdf","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","Extra documents are available. ",,,,44007118
386_WSK_CA10,"Dalham",,"https://www.westsuffolk.gov.uk/planning/Conservation/upload/Dalham-CAA-Report-adopted-top-copy-May-08.pdf","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","Extra documents are available. ",,,,44007148
386_WSK_CA11,"Denston",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007049
386_WSK_CA12,"Elveden",,"https://www.westsuffolk.gov.uk/planning/Conservation/upload/Adopted-Elveden-CAA-with-ctte-amendments-v1.pdf","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","Extra documents are available. ",,,,44006976
386_WSK_CA13,"Eriswell",,"https://www.westsuffolk.gov.uk/planning/Conservation/upload/EriswellCAAReportadopted2007websitedoc.pdf","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","Extra documents are available. ",,,,44007149
386_WSK_CA14,"Euston",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007050
386_WSK_CA15,"Exning",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44006975
386_WSK_CA16,"Fakenham Magna",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007051
386_WSK_CA17,"Flempton",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007052
386_WSK_CA18,"Fornham All Saints",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44006980
386_WSK_CA19,"Freckenham October",,"https://www.westsuffolk.gov.uk/planning/Conservation/upload/Freckenham-CAA-Adoption-2010.pdf","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","Extra documents are available. ",,,,44006978
386_WSK_CA20,"Great and Little Thurlow",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007053
386_WSK_CA21,"Great Livermere",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007120
386_WSK_CA22,"Great and Little Whelnetham and Sicklesmere",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007062
386_WSK_CA23,"Great Wratting",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007054
386_WSK_CA24,"Haverhill (Hamlet Road)",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007122
386_WSK_CA25,"Haverhill (Queen Street)",,"https://www.westsuffolk.gov.uk/planning/Conservation/upload/Haverhill-Queen-Street-ConservationAreaAppraisal.pdf","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","Extra documents are available. ",,,,44007123
386_WSK_CA26,"Hawkedon",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007055
386_WSK_CA27,"Hengrave",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007056
386_WSK_CA28,"Higham",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007043
386_WSK_CA29,"Honington",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007125
386_WSK_CA30,"Hopton",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007057
386_WSK_CA31,"Horringer",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007058
386_WSK_CA32,"Hundon",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007124
386_WSK_CA33,"Ixworth",,"https://www.westsuffolk.gov.uk/planning/Conservation/upload/Ixworth-Appraisal-FINAL-VERSION.pdf","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","Extra documents are available. ",,,,44006981
386_WSK_CA34,"Lakenheath",,"https://www.westsuffolk.gov.uk/planning/Conservation/upload/A78-ForestHeathConservationAreaAppraisalLakenheath.pdf","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","Extra documents are available. ",,,,44007040
386_WSK_CA35,"Lidgate",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007059
386_WSK_CA36,"Mildenhall",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44006977
386_WSK_CA37,"Moulton October",,"https://www.westsuffolk.gov.uk/planning/Conservation/upload/A82-ForestHeathConservationAreaAppraisalMoulton.pdf","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","Extra documents are available. ",,,,44006974
386_WSK_CA38,"Newmarket March",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44006979
386_WSK_CA39,"Pakenham",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007060
386_WSK_CA40,"Risby",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007061
386_WSK_CA41,"Santon Downham",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007343
386_WSK_CA42,"Stanton",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007121
386_WSK_CA43,"Stoke-by-Clare",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007063
386_WSK_CA44,"Stradishall",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007064
386_WSK_CA45,"West Stow and Culford Park",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007065
386_WSK_CA46,"Whepstead",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007066
386_WSK_CA47,"Wickhambrook",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007067
386_WSK_CA48,"Withersfield",,"","https://www.westsuffolk.gov.uk/planning/Conservation/conservationareasandappraisals.cfm","No appraisal document",,,,44007117
