reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date,ca_entity
303_SND_CA1,"Ashbrooke",,"https://www.sunderland.gov.uk/media/2698/Ashbrooke-Character-Appraisal-Adopted-as-Supplementary-Planning-Guidance-in-December-2004/pdf/Ashbrooke_Planning_Guidance_LQR.pdf?m=1652274272517","https://www.sunderland.gov.uk/conservation",,,"Best Map is shown on page 5 of the appraisal document. ",local-authority:SND,,,,44003610
303_SND_CA2,"Roker Park",,"https://www.sunderland.gov.uk/media/7646/Roker-Park-Character-Appraisal-Adopted-as-Planning-Guidance-in-February-2007/pdf/Roker_Park_planning_guidance_LQR.pdf?m=1652274974803","https://www.sunderland.gov.uk/conservation",,,"Best Map is shown on page 8 of the appraisal document. ",local-authority:SND,,,,44003603
303_SND_CA3,"Houghton",,"https://www.sunderland.gov.uk/media/2690/Houghton-Character-Appraisal-Adopted-as-Planning-Guidance-in-December-2007/pdf/Houghton_planning_guidance_LQR.pdf?m=1652275162580","https://www.sunderland.gov.uk/conservation",,,"Split areaBest Map is shown on page 8 of the appraisal document. ",local-authority:SND,,,,44003607
303_SND_CA4,"Whitburn",,"https://www.sunderland.gov.uk/media/2684/Whitburn-Bents-Character-Appraisal-Adopted-as-Planning-Guidance-in-December-2007/pdf/Whitburn_planning_guidance_LQR.pdf?m=1652275292737","https://www.sunderland.gov.uk/conservation",,,"Best Map is shown on page 8 of the appraisal document. ",local-authority:SND,,,,44003612
303_SND_CA5,"The Cedars",,"https://www.sunderland.gov.uk/media/2688/The-Cedars-Character-Appraisal-Adopted-as-Planning-Guidance-in-March-2008/pdf/The_Cedars_planning_guidance_LQR.pdf?m=1652275382637","https://www.sunderland.gov.uk/conservation",,,"Best Map is shown on page 9 of the appraisal document. ",local-authority:SND,,,,44003604
303_SND_CA6,"Washington Village",,"https://www.sunderland.gov.uk/media/2694/Washington-Village-Character-Appraisal-Adopted-as-Planning-Guidance-in-January-2009/pdf/Washington_Planning_Guidance_LQF.pdf?m=1652275455447","https://www.sunderland.gov.uk/conservation",,,"Best Map is shown on page 9 of the appraisal document. ",local-authority:SND,,,,44003611
303_SND_CA7,"Newbottle Village",,"https://www.sunderland.gov.uk/media/2671/Newbottle-Village-Character-Appraisal-Adopted-as-Planning-Guidance-in-March-2009/pdf/Newbottle_planning_guidance_LQR.pdf?m=1652275548957","https://www.sunderland.gov.uk/conservation",,,"Best Map is shown on page 9 of the appraisal document. ",local-authority:SND,,,,44003601
303_SND_CA8,"Sunniside",,"https://www.sunderland.gov.uk/media/7948/Sunniside-Character-Appraisal-Adopted-as-Planning-Guidance-in-November-2009/pdf/Sunniside_planning_guidance_LQR.pdf?m=1652275636577","https://www.sunderland.gov.uk/conservation",,,"Best Map is shown on page 12 of the appraisal document. ",local-authority:SND,,,,44003609
303_SND_CA9,"Silksworth Hall",,"https://www.sunderland.gov.uk/media/7949/Silksworth-Hall-Character-Appraisal-Adopted-as-Planning-Guidance-in-February-2010/pdf/Silksworth_Planning_Guidance_LQR.pdf?m=1652275718360","https://www.sunderland.gov.uk/conservation",,,"Best Map is shown on page 10 of the appraisal document. ",local-authority:SND,,,,44003613
303_SND_CA10,"Ryhope Village",,"https://www.sunderland.gov.uk/media/9151/Ryhope-Village-Character-Appraisal-Adopted-as-Planning-Guidance-in-December-2010/pdf/Ryhope_Village_Planning_Guidance.pdf?m=1652275888050","https://www.sunderland.gov.uk/conservation",,,"Best Map is shown on page 10 of the appraisal document. ",local-authority:SND,,,,44003606
303_SND_CA11,"Bishopwearmouth",,"https://www.sunderland.gov.uk/media/20610/Bishopwearmouth-Character-Appraisal-Adopted-as-Planning-Guidance-in-June-2018/pdf/Adopted_Bishopwearmouth_CAMP_June_2018.pdf?m=1652275084407","https://www.sunderland.gov.uk/conservation",,,"Best Map is shown on page 9 of the appraisal document. ",local-authority:SND,,,,44003608
